Test #,Strategy,Parameters,Return %,Sharpe,Win Rate %,Max DD %,Trades,Profit Factor
73,RSI,"{'rsi_period': 10, 'rsi_lower': 35, 'rsi_upper': 80}",27.5,0.1,61.1,-63.6,36,1.44
72,RSI,"{'rsi_period': 10, 'rsi_lower': 35, 'rsi_upper': 75}",22.34,0.09,61.0,-60.4,41,1.35
61,RSI,"{'rsi_period': 10, 'rsi_lower': 20, 'rsi_upper': 80}",18.97,0.09,73.7,-57.7,19,1.47
36,DualMA,"{'fast_ma': 20, 'slow_ma': 140}",13.08,0.08,45.5,-41.4,11,1.02
123,BollingerBands,"{'bb_period': 15, 'bb_std': 2.0}",17.29,0.07,70.0,-63.7,20,1.49
69,RSI,"{'rsi_period': 10, 'rsi_lower': 30, 'rsi_upper': 80}",15.49,0.06,58.6,-59.3,29,1.35
60,RSI,"{'rsi_period': 10, 'rsi_lower': 20, 'rsi_upper': 75}",8.95,0.04,72.7,-56.1,22,1.34
63,RSI,"{'rsi_period': 10, 'rsi_lower': 25, 'rsi_upper': 70}",8.81,0.04,57.1,-56.0,28,1.28
68,RSI,"{'rsi_period': 10, 'rsi_lower': 30, 'rsi_upper': 75}",9.95,0.04,54.5,-56.4,33,1.26
92,RSI,"{'rsi_period': 20, 'rsi_lower': 20, 'rsi_upper': 75}",4.62,0.03,60.0,-42.2,5,1.39
126,BollingerBands,"{'bb_period': 20, 'bb_std': 1.5}",6.37,0.03,63.6,-63.4,33,1.24
62,RSI,"{'rsi_period': 10, 'rsi_lower': 25, 'rsi_upper': 65}",3.0,0.02,61.3,-63.2,31,1.23
74,RSI,"{'rsi_period': 14, 'rsi_lower': 20, 'rsi_upper': 65}",0.99,0.01,78.6,-51.5,14,1.22
87,RSI,"{'rsi_period': 14, 'rsi_lower': 35, 'rsi_upper': 70}",0.84,0.0,74.1,-61.1,27,1.21
90,RSI,"{'rsi_period': 20, 'rsi_lower': 20, 'rsi_upper': 65}",0.19,0.0,80.0,-42.3,5,1.19
130,BollingerBands,"{'bb_period': 25, 'bb_std': 1.5}",-4.73,-0.02,70.4,-65.7,27,1.18
